'Time and date','Cz..'
'[16:15:08.988 12/08/2009]',-65.000
'[16:15:08.994 12/08/2009]',-63.000
'[16:15:09.000 12/08/2009]',-75.000
'[16:15:09.006 12/08/2009]',-36.000
'[16:15:09.013 12/08/2009]',-81.000
'[16:15:09.019 12/08/2009]',-61.000
'[16:15:09.025 12/08/2009]',-86.000
'[16:15:09.031 12/08/2009]',-88.000
'[16:15:09.038 12/08/2009]',-59.000
'[16:15:09.044 12/08/2009]',-68.000
'[16:15:09.050 12/08/2009]',-80.000
'[16:15:09.056 12/08/2009]',-81.000
'[16:15:09.063 12/08/2009]',-86.000
'[16:15:09.069 12/08/2009]',-75.000
'[16:15:09.075 12/08/2009]',-70.000
'[16:15:09.081 12/08/2009]',-56.000
'[16:15:09.088 12/08/2009]',-56.000
'[16:15:09.094 12/08/2009]',-40.000
'[16:15:09.100 12/08/2009]',-45.000
'[16:15:09.106 12/08/2009]',-3.000
'[16:15:09.113 12/08/2009]',62.000
'[16:15:09.119 12/08/2009]',104.000
'[16:15:09.125 12/08/2009]',87.000
'[16:15:09.131 12/08/2009]',21.000
'[16:15:09.138 12/08/2009]',-20.000
'[16:15:09.144 12/08/2009]',-38.000
'[16:15:09.150 12/08/2009]',-48.000
'[16:15:09.156 12/08/2009]',-57.000
'[16:15:09.163 12/08/2009]',-71.000
'[16:15:09.169 12/08/2009]',-108.000
'[16:15:09.175 12/08/2009]',-116.000
'[16:15:09.181 12/08/2009]',-110.000
'[16:15:09.188 12/08/2009]',-117.000
'[16:15:09.194 12/08/2009]',-97.000
'[16:15:09.200 12/08/2009]',-92.000
'[16:15:09.206 12/08/2009]',-68.000
'[16:15:09.213 12/08/2009]',-78.000
'[16:15:09.219 12/08/2009]',-83.000
'[16:15:09.225 12/08/2009]',-74.000
'[16:15:09.231 12/08/2009]',-96.000
'[16:15:09.238 12/08/2009]',-59.000
'[16:15:09.244 12/08/2009]',-69.000
'[16:15:09.250 12/08/2009]',-84.000
'[16:15:09.256 12/08/2009]',-54.000
'[16:15:09.263 12/08/2009]',-32.000
'[16:15:09.269 12/08/2009]',-64.000
'[16:15:09.275 12/08/2009]',-36.000
'[16:15:09.281 12/08/2009]',-48.000
'[16:15:09.288 12/08/2009]',-21.000
'[16:15:09.294 12/08/2009]',-20.000
'[16:15:09.300 12/08/2009]',-42.000
'[16:15:09.306 12/08/2009]',-21.000
'[16:15:09.313 12/08/2009]',-22.000
'[16:15:09.319 12/08/2009]',-33.000
'[16:15:09.325 12/08/2009]',-3.000
'[16:15:09.331 12/08/2009]',-17.000
'[16:15:09.338 12/08/2009]',-17.000
'[16:15:09.344 12/08/2009]',-29.000
'[16:15:09.350 12/08/2009]',-34.000
'[16:15:09.356 12/08/2009]',-51.000
'[16:15:09.363 12/08/2009]',-41.000
'[16:15:09.369 12/08/2009]',-30.000
'[16:15:09.375 12/08/2009]',-6.000
'[16:15:09.381 12/08/2009]',-19.000
'[16:15:09.388 12/08/2009]',-12.000
'[16:15:09.394 12/08/2009]',-5.000
'[16:15:09.400 12/08/2009]',-4.000
'[16:15:09.406 12/08/2009]',3.000
'[16:15:09.413 12/08/2009]',14.000
'[16:15:09.419 12/08/2009]',33.000
'[16:15:09.425 12/08/2009]',26.000
'[16:15:09.431 12/08/2009]',21.000
'[16:15:09.438 12/08/2009]',44.000
'[16:15:09.444 12/08/2009]',24.000
'[16:15:09.450 12/08/2009]',37.000
'[16:15:09.456 12/08/2009]',56.000
'[16:15:09.463 12/08/2009]',40.000
'[16:15:09.469 12/08/2009]',14.000
'[16:15:09.475 12/08/2009]',-8.000
'[16:15:09.481 12/08/2009]',-22.000
'[16:15:09.488 12/08/2009]',-40.000
'[16:15:09.494 12/08/2009]',-8.000
'[16:15:09.500 12/08/2009]',-13.000
'[16:15:09.506 12/08/2009]',-9.000
'[16:15:09.513 12/08/2009]',-20.000
'[16:15:09.519 12/08/2009]',-37.000
'[16:15:09.525 12/08/2009]',-4.000
'[16:15:09.531 12/08/2009]',-26.000
'[16:15:09.538 12/08/2009]',-13.000
'[16:15:09.544 12/08/2009]',-33.000
'[16:15:09.550 12/08/2009]',-39.000
'[16:15:09.556 12/08/2009]',-9.000
'[16:15:09.563 12/08/2009]',-16.000
'[16:15:09.569 12/08/2009]',-28.000
'[16:15:09.575 12/08/2009]',-46.000
'[16:15:09.581 12/08/2009]',-32.000
'[16:15:09.588 12/08/2009]',-46.000
'[16:15:09.594 12/08/2009]',-40.000
'[16:15:09.600 12/08/2009]',-34.000
'[16:15:09.606 12/08/2009]',-40.000
'[16:15:09.613 12/08/2009]',-59.000
'[16:15:09.619 12/08/2009]',-73.000
'[16:15:09.625 12/08/2009]',-55.000
'[16:15:09.631 12/08/2009]',-52.000
'[16:15:09.638 12/08/2009]',-51.000
'[16:15:09.644 12/08/2009]',-47.000
'[16:15:09.650 12/08/2009]',-27.000
'[16:15:09.656 12/08/2009]',15.000
'[16:15:09.663 12/08/2009]',-5.000
'[16:15:09.669 12/08/2009]',-24.000
'[16:15:09.675 12/08/2009]',-15.000
'[16:15:09.681 12/08/2009]',-10.000
'[16:15:09.688 12/08/2009]',-23.000
'[16:15:09.694 12/08/2009]',4.000
'[16:15:09.700 12/08/2009]',-7.000
'[16:15:09.706 12/08/2009]',-8.000
'[16:15:09.713 12/08/2009]',-39.000
'[16:15:09.719 12/08/2009]',-41.000
'[16:15:09.725 12/08/2009]',-36.000
'[16:15:09.731 12/08/2009]',-57.000
'[16:15:09.738 12/08/2009]',-63.000
'[16:15:09.744 12/08/2009]',-68.000
'[16:15:09.750 12/08/2009]',-67.000
'[16:15:09.756 12/08/2009]',-73.000
'[16:15:09.763 12/08/2009]',-53.000
'[16:15:09.769 12/08/2009]',-43.000
'[16:15:09.775 12/08/2009]',-37.000
'[16:15:09.781 12/08/2009]',-43.000
'[16:15:09.788 12/08/2009]',-22.000
'[16:15:09.794 12/08/2009]',-27.000
'[16:15:09.800 12/08/2009]',-30.000
'[16:15:09.806 12/08/2009]',-20.000
'[16:15:09.813 12/08/2009]',-13.000
'[16:15:09.819 12/08/2009]',6.000
'[16:15:09.825 12/08/2009]',-26.000
'[16:15:09.831 12/08/2009]',-36.000
'[16:15:09.838 12/08/2009]',-29.000
'[16:15:09.844 12/08/2009]',-29.000
'[16:15:09.850 12/08/2009]',-45.000
'[16:15:09.856 12/08/2009]',-45.000
'[16:15:09.863 12/08/2009]',-54.000
'[16:15:09.869 12/08/2009]',-33.000
'[16:15:09.875 12/08/2009]',-34.000
'[16:15:09.881 12/08/2009]',-42.000
'[16:15:09.888 12/08/2009]',-3.000
'[16:15:09.894 12/08/2009]',18.000
'[16:15:09.900 12/08/2009]',20.000
'[16:15:09.906 12/08/2009]',36.000
'[16:15:09.913 12/08/2009]',33.000
'[16:15:09.919 12/08/2009]',14.000
'[16:15:09.925 12/08/2009]',15.000
'[16:15:09.931 12/08/2009]',-7.000
'[16:15:09.938 12/08/2009]',-20.000
'[16:15:09.944 12/08/2009]',-44.000
'[16:15:09.950 12/08/2009]',-51.000
'[16:15:09.956 12/08/2009]',-65.000
'[16:15:09.963 12/08/2009]',-74.000
'[16:15:09.969 12/08/2009]',-70.000
'[16:15:09.975 12/08/2009]',-61.000
'[16:15:09.981 12/08/2009]',-71.000
'[16:15:09.988 12/08/2009]',-46.000
'[16:15:09.994 12/08/2009]',-34.000
'[16:15:10.000 12/08/2009]',-24.000
'[16:15:10.006 12/08/2009]',16.000
'[16:15:10.013 12/08/2009]',5.000
'[16:15:10.019 12/08/2009]',-20.000
'[16:15:10.025 12/08/2009]',-6.000
'[16:15:10.031 12/08/2009]',-28.000
'[16:15:10.038 12/08/2009]',-16.000
'[16:15:10.044 12/08/2009]',-7.000
'[16:15:10.050 12/08/2009]',-22.000
'[16:15:10.056 12/08/2009]',-17.000
'[16:15:10.063 12/08/2009]',-12.000
'[16:15:10.069 12/08/2009]',3.000
'[16:15:10.075 12/08/2009]',44.000
'[16:15:10.081 12/08/2009]',114.000
'[16:15:10.088 12/08/2009]',178.000
'[16:15:10.094 12/08/2009]',164.000
'[16:15:10.100 12/08/2009]',92.000
'[16:15:10.106 12/08/2009]',64.000
'[16:15:10.113 12/08/2009]',41.000
'[16:15:10.119 12/08/2009]',15.000
'[16:15:10.125 12/08/2009]',-4.000
'[16:15:10.131 12/08/2009]',-5.000
'[16:15:10.138 12/08/2009]',-21.000
'[16:15:10.144 12/08/2009]',-26.000
'[16:15:10.150 12/08/2009]',-27.000
'[16:15:10.156 12/08/2009]',-25.000
'[16:15:10.163 12/08/2009]',-12.000
'[16:15:10.169 12/08/2009]',2.000
'[16:15:10.175 12/08/2009]',36.000
'[16:15:10.181 12/08/2009]',28.000
'[16:15:10.188 12/08/2009]',44.000
'[16:15:10.194 12/08/2009]',64.000
'[16:15:10.200 12/08/2009]',55.000
'[16:15:10.206 12/08/2009]',111.000
'[16:15:10.213 12/08/2009]',102.000
'[16:15:10.219 12/08/2009]',109.000
'[16:15:10.225 12/08/2009]',88.000
'[16:15:10.231 12/08/2009]',46.000
'[16:15:10.238 12/08/2009]',24.000
'[16:15:10.244 12/08/2009]',10.000
'[16:15:10.250 12/08/2009]',-7.000
'[16:15:10.256 12/08/2009]',-3.000
'[16:15:10.263 12/08/2009]',0.000
'[16:15:10.269 12/08/2009]',8.000
'[16:15:10.275 12/08/2009]',3.000
'[16:15:10.281 12/08/2009]',-13.000
'[16:15:10.288 12/08/2009]',3.000
'[16:15:10.294 12/08/2009]',11.000
'[16:15:10.300 12/08/2009]',-6.000
'[16:15:10.306 12/08/2009]',21.000
'[16:15:10.313 12/08/2009]',58.000
'[16:15:10.319 12/08/2009]',40.000
'[16:15:10.325 12/08/2009]',48.000
'[16:15:10.331 12/08/2009]',50.000
'[16:15:10.338 12/08/2009]',67.000
'[16:15:10.344 12/08/2009]',51.000
'[16:15:10.350 12/08/2009]',41.000
'[16:15:10.356 12/08/2009]',24.000
'[16:15:10.363 12/08/2009]',3.000
'[16:15:10.369 12/08/2009]',-22.000
'[16:15:10.375 12/08/2009]',-24.000
'[16:15:10.381 12/08/2009]',-30.000
'[16:15:10.388 12/08/2009]',-4.000
'[16:15:10.394 12/08/2009]',-12.000
'[16:15:10.400 12/08/2009]',-26.000
'[16:15:10.406 12/08/2009]',-5.000
'[16:15:10.413 12/08/2009]',-7.000
'[16:15:10.419 12/08/2009]',3.000
'[16:15:10.425 12/08/2009]',35.000
'[16:15:10.431 12/08/2009]',37.000
'[16:15:10.438 12/08/2009]',7.000
'[16:15:10.444 12/08/2009]',7.000
'[16:15:10.450 12/08/2009]',-1.000
'[16:15:10.456 12/08/2009]',6.000
'[16:15:10.463 12/08/2009]',-2.000
'[16:15:10.469 12/08/2009]',2.000
'[16:15:10.475 12/08/2009]',22.000
'[16:15:10.481 12/08/2009]',-1.000
'[16:15:10.488 12/08/2009]',7.000
'[16:15:10.494 12/08/2009]',23.000
'[16:15:10.500 12/08/2009]',-7.000
'[16:15:10.506 12/08/2009]',13.000
'[16:15:10.513 12/08/2009]',-7.000
'[16:15:10.519 12/08/2009]',19.000
'[16:15:10.525 12/08/2009]',7.000
'[16:15:10.531 12/08/2009]',-10.000
'[16:15:10.538 12/08/2009]',-6.000
'[16:15:10.544 12/08/2009]',19.000
'[16:15:10.550 12/08/2009]',24.000
'[16:15:10.556 12/08/2009]',12.000
'[16:15:10.563 12/08/2009]',-5.000
'[16:15:10.569 12/08/2009]',-14.000
'[16:15:10.575 12/08/2009]',-18.000
'[16:15:10.581 12/08/2009]',-24.000
'[16:15:10.588 12/08/2009]',6.000
'[16:15:10.594 12/08/2009]',4.000
'[16:15:10.600 12/08/2009]',13.000
'[16:15:10.606 12/08/2009]',37.000
'[16:15:10.613 12/08/2009]',19.000
'[16:15:10.619 12/08/2009]',5.000
'[16:15:10.625 12/08/2009]',18.000
'[16:15:10.631 12/08/2009]',14.000
'[16:15:10.638 12/08/2009]',43.000
'[16:15:10.644 12/08/2009]',49.000
'[16:15:10.650 12/08/2009]',43.000
'[16:15:10.656 12/08/2009]',44.000
'[16:15:10.663 12/08/2009]',29.000
'[16:15:10.669 12/08/2009]',17.000
'[16:15:10.675 12/08/2009]',39.000
'[16:15:10.681 12/08/2009]',-4.000
'[16:15:10.688 12/08/2009]',-21.000
'[16:15:10.694 12/08/2009]',-30.000
'[16:15:10.700 12/08/2009]',-47.000
'[16:15:10.706 12/08/2009]',-24.000
'[16:15:10.713 12/08/2009]',-39.000
'[16:15:10.719 12/08/2009]',-44.000
'[16:15:10.725 12/08/2009]',-28.000
'[16:15:10.731 12/08/2009]',-33.000
'[16:15:10.738 12/08/2009]',-42.000
'[16:15:10.744 12/08/2009]',-37.000
'[16:15:10.750 12/08/2009]',-27.000
'[16:15:10.756 12/08/2009]',-21.000
'[16:15:10.763 12/08/2009]',-46.000
'[16:15:10.769 12/08/2009]',-17.000
'[16:15:10.775 12/08/2009]',-25.000
'[16:15:10.781 12/08/2009]',-2.000
'[16:15:10.788 12/08/2009]',-15.000
'[16:15:10.794 12/08/2009]',-13.000
'[16:15:10.800 12/08/2009]',1.000
'[16:15:10.806 12/08/2009]',17.000
'[16:15:10.813 12/08/2009]',19.000
'[16:15:10.819 12/08/2009]',30.000
'[16:15:10.825 12/08/2009]',13.000
'[16:15:10.831 12/08/2009]',9.000
'[16:15:10.838 12/08/2009]',-7.000
'[16:15:10.844 12/08/2009]',-5.000
'[16:15:10.850 12/08/2009]',-11.000
'[16:15:10.856 12/08/2009]',-20.000
'[16:15:10.863 12/08/2009]',-53.000
'[16:15:10.869 12/08/2009]',-42.000
'[16:15:10.875 12/08/2009]',-16.000
'[16:15:10.881 12/08/2009]',-23.000
'[16:15:10.888 12/08/2009]',-22.000
'[16:15:10.894 12/08/2009]',-4.000
'[16:15:10.900 12/08/2009]',13.000
'[16:15:10.906 12/08/2009]',24.000
'[16:15:10.913 12/08/2009]',5.000
'[16:15:10.919 12/08/2009]',16.000
'[16:15:10.925 12/08/2009]',41.000
'[16:15:10.931 12/08/2009]',25.000
'[16:15:10.938 12/08/2009]',45.000
'[16:15:10.944 12/08/2009]',46.000
'[16:15:10.950 12/08/2009]',35.000
'[16:15:10.956 12/08/2009]',37.000
'[16:15:10.963 12/08/2009]',8.000
'[16:15:10.969 12/08/2009]',-7.000
'[16:15:10.975 12/08/2009]',3.000
'[16:15:10.981 12/08/2009]',-4.000
'[16:15:10.988 12/08/2009]',3.000
'[16:15:10.994 12/08/2009]',13.000
'[16:15:11.000 12/08/2009]',12.000
'[16:15:11.006 12/08/2009]',13.000
'[16:15:11.013 12/08/2009]',-24.000
'[16:15:11.019 12/08/2009]',-31.000
'[16:15:11.025 12/08/2009]',-16.000
'[16:15:11.031 12/08/2009]',-19.000
'[16:15:11.038 12/08/2009]',-13.000
'[16:15:11.044 12/08/2009]',17.000
'[16:15:11.050 12/08/2009]',37.000
'[16:15:11.056 12/08/2009]',70.000
'[16:15:11.063 12/08/2009]',15.000
'[16:15:11.069 12/08/2009]',-10.000
'[16:15:11.075 12/08/2009]',-30.000
'[16:15:11.081 12/08/2009]',-15.000
'[16:15:11.088 12/08/2009]',-17.000
'[16:15:11.094 12/08/2009]',-5.000
'[16:15:11.100 12/08/2009]',-27.000
'[16:15:11.106 12/08/2009]',-33.000
'[16:15:11.113 12/08/2009]',-30.000
'[16:15:11.119 12/08/2009]',-22.000
'[16:15:11.125 12/08/2009]',-8.000
'[16:15:11.131 12/08/2009]',-12.000
'[16:15:11.138 12/08/2009]',-22.000
'[16:15:11.144 12/08/2009]',-4.000
'[16:15:11.150 12/08/2009]',-30.000
'[16:15:11.156 12/08/2009]',-13.000
'[16:15:11.163 12/08/2009]',10.000
'[16:15:11.169 12/08/2009]',11.000
'[16:15:11.175 12/08/2009]',27.000
'[16:15:11.181 12/08/2009]',18.000
'[16:15:11.188 12/08/2009]',-6.000
'[16:15:11.194 12/08/2009]',-2.000
'[16:15:11.200 12/08/2009]',-20.000
'[16:15:11.206 12/08/2009]',-10.000
'[16:15:11.213 12/08/2009]',-22.000
'[16:15:11.219 12/08/2009]',-10.000
'[16:15:11.225 12/08/2009]',-25.000
'[16:15:11.231 12/08/2009]',6.000
'[16:15:11.238 12/08/2009]',-26.000
'[16:15:11.244 12/08/2009]',-61.000
'[16:15:11.250 12/08/2009]',-45.000
'[16:15:11.256 12/08/2009]',-25.000
'[16:15:11.263 12/08/2009]',-46.000
'[16:15:11.269 12/08/2009]',-50.000
'[16:15:11.275 12/08/2009]',-28.000
'[16:15:11.281 12/08/2009]',-50.000
'[16:15:11.288 12/08/2009]',-50.000
'[16:15:11.294 12/08/2009]',-34.000
'[16:15:11.300 12/08/2009]',-17.000
'[16:15:11.306 12/08/2009]',-4.000
'[16:15:11.313 12/08/2009]',1.000
'[16:15:11.319 12/08/2009]',-20.000
'[16:15:11.325 12/08/2009]',-5.000
'[16:15:11.331 12/08/2009]',-8.000
'[16:15:11.338 12/08/2009]',-7.000
'[16:15:11.344 12/08/2009]',-2.000
'[16:15:11.350 12/08/2009]',-34.000
'[16:15:11.356 12/08/2009]',-22.000
'[16:15:11.363 12/08/2009]',-46.000
'[16:15:11.369 12/08/2009]',-78.000
'[16:15:11.375 12/08/2009]',-76.000
'[16:15:11.381 12/08/2009]',-90.000
'[16:15:11.388 12/08/2009]',-53.000
'[16:15:11.394 12/08/2009]',-65.000
'[16:15:11.400 12/08/2009]',-58.000
'[16:15:11.406 12/08/2009]',-52.000
'[16:15:11.413 12/08/2009]',-47.000
'[16:15:11.419 12/08/2009]',-52.000
'[16:15:11.425 12/08/2009]',-59.000
'[16:15:11.431 12/08/2009]',-63.000
'[16:15:11.438 12/08/2009]',-50.000
'[16:15:11.444 12/08/2009]',-34.000
'[16:15:11.450 12/08/2009]',-22.000
'[16:15:11.456 12/08/2009]',5.000
'[16:15:11.463 12/08/2009]',5.000
'[16:15:11.469 12/08/2009]',1.000
'[16:15:11.475 12/08/2009]',3.000
'[16:15:11.481 12/08/2009]',6.000
'[16:15:11.488 12/08/2009]',-13.000
'[16:15:11.494 12/08/2009]',-5.000
'[16:15:11.500 12/08/2009]',-13.000
'[16:15:11.506 12/08/2009]',2.000
'[16:15:11.513 12/08/2009]',-14.000
'[16:15:11.519 12/08/2009]',-23.000
'[16:15:11.525 12/08/2009]',-36.000
'[16:15:11.531 12/08/2009]',-22.000
'[16:15:11.538 12/08/2009]',-38.000
'[16:15:11.544 12/08/2009]',-15.000
'[16:15:11.550 12/08/2009]',-25.000
'[16:15:11.556 12/08/2009]',-24.000
'[16:15:11.563 12/08/2009]',-28.000
'[16:15:11.569 12/08/2009]',-1.000
'[16:15:11.575 12/08/2009]',8.000
'[16:15:11.581 12/08/2009]',-1.000
'[16:15:11.588 12/08/2009]',1.000
'[16:15:11.594 12/08/2009]',-23.000
'[16:15:11.600 12/08/2009]',-24.000
'[16:15:11.606 12/08/2009]',-28.000
'[16:15:11.613 12/08/2009]',-53.000
'[16:15:11.619 12/08/2009]',-54.000
'[16:15:11.625 12/08/2009]',-72.000
'[16:15:11.631 12/08/2009]',-93.000
'[16:15:11.638 12/08/2009]',-95.000
'[16:15:11.644 12/08/2009]',-99.000
'[16:15:11.650 12/08/2009]',-80.000
'[16:15:11.656 12/08/2009]',-60.000
'[16:15:11.663 12/08/2009]',-53.000
'[16:15:11.669 12/08/2009]',-49.000
'[16:15:11.675 12/08/2009]',-29.000
'[16:15:11.681 12/08/2009]',-43.000
'[16:15:11.688 12/08/2009]',-20.000
'[16:15:11.694 12/08/2009]',-36.000
'[16:15:11.700 12/08/2009]',-25.000
'[16:15:11.706 12/08/2009]',-65.000
'[16:15:11.713 12/08/2009]',-11.000
'[16:15:11.719 12/08/2009]',-29.000
'[16:15:11.725 12/08/2009]',-80.000
'[16:15:11.731 12/08/2009]',-53.000
'[16:15:11.738 12/08/2009]',-70.000
'[16:15:11.744 12/08/2009]',-93.000
'[16:15:11.750 12/08/2009]',-128.000
'[16:15:11.756 12/08/2009]',-118.000
'[16:15:11.763 12/08/2009]',-133.000
'[16:15:11.769 12/08/2009]',-124.000
'[16:15:11.775 12/08/2009]',-95.000
'[16:15:11.781 12/08/2009]',-87.000
'[16:15:11.788 12/08/2009]',-99.000
'[16:15:11.794 12/08/2009]',-61.000
'[16:15:11.800 12/08/2009]',-64.000
'[16:15:11.806 12/08/2009]',-60.000
'[16:15:11.813 12/08/2009]',-24.000
'[16:15:11.819 12/08/2009]',-47.000
'[16:15:11.825 12/08/2009]',-15.000
'[16:15:11.831 12/08/2009]',-14.000
'[16:15:11.838 12/08/2009]',-14.000
'[16:15:11.844 12/08/2009]',-16.000
'[16:15:11.850 12/08/2009]',-13.000
'[16:15:11.856 12/08/2009]',11.000
'[16:15:11.863 12/08/2009]',25.000
'[16:15:11.869 12/08/2009]',33.000
'[16:15:11.875 12/08/2009]',45.000
'[16:15:11.881 12/08/2009]',1.000
'[16:15:11.888 12/08/2009]',5.000
'[16:15:11.894 12/08/2009]',-1.000
'[16:15:11.900 12/08/2009]',-18.000
'[16:15:11.906 12/08/2009]',-20.000
'[16:15:11.913 12/08/2009]',-31.000
'[16:15:11.919 12/08/2009]',-42.000
'[16:15:11.925 12/08/2009]',-30.000
'[16:15:11.931 12/08/2009]',-29.000
'[16:15:11.938 12/08/2009]',-24.000
'[16:15:11.944 12/08/2009]',-8.000
'[16:15:11.950 12/08/2009]',-13.000
'[16:15:11.956 12/08/2009]',8.000
'[16:15:11.963 12/08/2009]',-2.000
'[16:15:11.969 12/08/2009]',-21.000
'[16:15:11.975 12/08/2009]',36.000
'[16:15:11.981 12/08/2009]',82.000
'[16:15:11.988 12/08/2009]',138.000
'[16:15:11.994 12/08/2009]',125.000
'[16:15:12.000 12/08/2009]',98.000
'[16:15:12.006 12/08/2009]',55.000
'[16:15:12.013 12/08/2009]',43.000
'[16:15:12.019 12/08/2009]',23.000
'[16:15:12.025 12/08/2009]',9.000
'[16:15:12.031 12/08/2009]',-2.000
'[16:15:12.038 12/08/2009]',-7.000
'[16:15:12.044 12/08/2009]',-29.000
'[16:15:12.050 12/08/2009]',-56.000
'[16:15:12.056 12/08/2009]',-45.000
'[16:15:12.063 12/08/2009]',-53.000
'[16:15:12.069 12/08/2009]',-70.000
'[16:15:12.075 12/08/2009]',-56.000
'[16:15:12.081 12/08/2009]',-66.000
'[16:15:12.088 12/08/2009]',-74.000
'[16:15:12.094 12/08/2009]',-73.000
'[16:15:12.100 12/08/2009]',-79.000
'[16:15:12.106 12/08/2009]',-49.000
'[16:15:12.113 12/08/2009]',-26.000
'[16:15:12.119 12/08/2009]',-16.000
'[16:15:12.125 12/08/2009]',1.000
'[16:15:12.131 12/08/2009]',10.000
'[16:15:12.138 12/08/2009]',-16.000
'[16:15:12.144 12/08/2009]',0.000
'[16:15:12.150 12/08/2009]',17.000
'[16:15:12.156 12/08/2009]',15.000
'[16:15:12.163 12/08/2009]',13.000
'[16:15:12.169 12/08/2009]',-10.000
'[16:15:12.175 12/08/2009]',-3.000
'[16:15:12.181 12/08/2009]',-6.000
'[16:15:12.188 12/08/2009]',-5.000
'[16:15:12.194 12/08/2009]',-1.000
'[16:15:12.200 12/08/2009]',-3.000
'[16:15:12.206 12/08/2009]',31.000
'[16:15:12.213 12/08/2009]',32.000
'[16:15:12.219 12/08/2009]',6.000
'[16:15:12.225 12/08/2009]',13.000
'[16:15:12.231 12/08/2009]',-16.000
'[16:15:12.238 12/08/2009]',-16.000
'[16:15:12.244 12/08/2009]',-18.000
'[16:15:12.250 12/08/2009]',-26.000
'[16:15:12.256 12/08/2009]',-10.000
'[16:15:12.263 12/08/2009]',2.000
'[16:15:12.269 12/08/2009]',-31.000
'[16:15:12.275 12/08/2009]',10.000
'[16:15:12.281 12/08/2009]',-14.000
'[16:15:12.288 12/08/2009]',23.000
'[16:15:12.294 12/08/2009]',3.000
'[16:15:12.300 12/08/2009]',20.000
'[16:15:12.306 12/08/2009]',24.000
'[16:15:12.313 12/08/2009]',16.000
'[16:15:12.319 12/08/2009]',-2.000
'[16:15:12.325 12/08/2009]',16.000
'[16:15:12.331 12/08/2009]',-10.000
'[16:15:12.338 12/08/2009]',-10.000
'[16:15:12.344 12/08/2009]',13.000
'[16:15:12.350 12/08/2009]',-1.000
'[16:15:12.356 12/08/2009]',15.000
'[16:15:12.363 12/08/2009]',0.000
'[16:15:12.369 12/08/2009]',-17.000
'[16:15:12.375 12/08/2009]',2.000
'[16:15:12.381 12/08/2009]',-6.000
'[16:15:12.388 12/08/2009]',-3.000
'[16:15:12.394 12/08/2009]',5.000
'[16:15:12.400 12/08/2009]',1.000
'[16:15:12.406 12/08/2009]',25.000
'[16:15:12.413 12/08/2009]',23.000
'[16:15:12.419 12/08/2009]',17.000
'[16:15:12.425 12/08/2009]',34.000
'[16:15:12.431 12/08/2009]',35.000
'[16:15:12.438 12/08/2009]',25.000
'[16:15:12.444 12/08/2009]',32.000
'[16:15:12.450 12/08/2009]',25.000
'[16:15:12.456 12/08/2009]',17.000
'[16:15:12.463 12/08/2009]',12.000
'[16:15:12.469 12/08/2009]',-13.000
'[16:15:12.475 12/08/2009]',-35.000
'[16:15:12.481 12/08/2009]',-45.000
'[16:15:12.488 12/08/2009]',-36.000
'[16:15:12.494 12/08/2009]',-18.000
'[16:15:12.500 12/08/2009]',-16.000
'[16:15:12.506 12/08/2009]',27.000
'[16:15:12.513 12/08/2009]',34.000
'[16:15:12.519 12/08/2009]',8.000
'[16:15:12.525 12/08/2009]',28.000
'[16:15:12.531 12/08/2009]',30.000
'[16:15:12.538 12/08/2009]',45.000
'[16:15:12.544 12/08/2009]',52.000
'[16:15:12.550 12/08/2009]',68.000
'[16:15:12.556 12/08/2009]',67.000
'[16:15:12.563 12/08/2009]',42.000
'[16:15:12.569 12/08/2009]',12.000
'[16:15:12.575 12/08/2009]',16.000
'[16:15:12.581 12/08/2009]',8.000
'[16:15:12.588 12/08/2009]',15.000
'[16:15:12.594 12/08/2009]',3.000
'[16:15:12.600 12/08/2009]',8.000
'[16:15:12.606 12/08/2009]',25.000
'[16:15:12.613 12/08/2009]',6.000
'[16:15:12.619 12/08/2009]',-14.000
'[16:15:12.625 12/08/2009]',-6.000
'[16:15:12.631 12/08/2009]',-30.000
'[16:15:12.638 12/08/2009]',-13.000
'[16:15:12.644 12/08/2009]',-31.000
'[16:15:12.650 12/08/2009]',-31.000
'[16:15:12.656 12/08/2009]',-18.000
'[16:15:12.663 12/08/2009]',-14.000
'[16:15:12.669 12/08/2009]',-12.000
'[16:15:12.675 12/08/2009]',3.000
'[16:15:12.681 12/08/2009]',10.000
'[16:15:12.688 12/08/2009]',23.000
'[16:15:12.694 12/08/2009]',8.000
'[16:15:12.700 12/08/2009]',1.000
'[16:15:12.706 12/08/2009]',8.000
'[16:15:12.713 12/08/2009]',46.000
'[16:15:12.719 12/08/2009]',42.000
'[16:15:12.725 12/08/2009]',56.000
'[16:15:12.731 12/08/2009]',41.000
'[16:15:12.738 12/08/2009]',39.000
'[16:15:12.744 12/08/2009]',49.000
'[16:15:12.750 12/08/2009]',37.000
'[16:15:12.756 12/08/2009]',59.000
'[16:15:12.763 12/08/2009]',33.000
'[16:15:12.769 12/08/2009]',29.000
'[16:15:12.775 12/08/2009]',30.000
'[16:15:12.781 12/08/2009]',18.000
'[16:15:12.788 12/08/2009]',-2.000
'[16:15:12.794 12/08/2009]',15.000
'[16:15:12.800 12/08/2009]',-6.000
'[16:15:12.806 12/08/2009]',-7.000
'[16:15:12.813 12/08/2009]',-14.000
'[16:15:12.819 12/08/2009]',-13.000
'[16:15:12.825 12/08/2009]',1.000
'[16:15:12.831 12/08/2009]',-1.000
'[16:15:12.838 12/08/2009]',10.000
